Sample	Gender	Pop	Sub.pop
HG02387	male	EAS	CDX
HG03019	female	SAS	PJL
HG03473	female	AFR	MSL
HG02394	male	EAS	CDX
HG03021	male	SAS	PJL
HG03478	male	AFR	MSL
HG02541	male	AFR	ACB
HG03026	female	AFR	GWD
HG03480	female	AFR	MSL
HG02546	female	AFR	ACB
HG03033	male	AFR	GWD
HG03485	female	AFR	MSL
HG02558	female	AFR	ACB
HG03040	female	AFR	GWD
HG03454	male	AFR	MSL
HG02508	female	AFR	ACB
HG02984	male	AFR	GWD
HG03459	male	AFR	MSL
HG02522	female	EAS	KHV
HG03007	female	SAS	BEB
HG03461	female	AFR	MSL
HG02490	male	SAS	PJL
HG03045	male	AFR	GWD
HG03466	male	AFR	MSL
HG02495	female	SAS	PJL
HG03052	female	AFR	MSL
HG03428	female	AFR	MSL
HG02433	male	AFR	ACB
HG03057	male	AFR	MSL
HG03442	male	AFR	MSL
HG02445	male	AFR	ACB
HG02939	male	AFR	ESN
HG03517	female	AFR	ESN
HG02717	male	AFR	GWD
HG02941	male	AFR	ESN
HG03548	female	AFR	MSL
HG02724	male	SAS	PJL
HG02946	female	AFR	ESN
HG03372	female	AFR	ESN
HG02628	male	AFR	GWD
HG02953	male	AFR	ESN
HG03384	female	AFR	MSL
HG02630	female	AFR	GWD
HG03064	female	AFR	MSL
HG03567	female	AFR	MSL
HG02635	female	AFR	GWD
HG03069	male	AFR	MSL
HG03574	male	AFR	MSL
HG02642	male	AFR	GWD
HG03076	female	AFR	MSL
HG03391	male	AFR	MSL
HG02647	male	AFR	GWD
HG02965	male	AFR	ESN
HG03411	female	AFR	MSL
HG02604	female	SAS	PJL
HG02972	male	AFR	ESN
HG03492	male	SAS	PJL
HG02611	female	AFR	GWD
HG02977	male	AFR	ESN
HG03341	female	AFR	ESN
HG02623	male	AFR	GWD
HG02869	male	AFR	GWD
HG03365	male	AFR	ESN
HG02685	female	SAS	PJL
HG02871	female	AFR	GWD
HG03644	male	SAS	STU
HG02692	female	SAS	PJL
HG03088	female	AFR	MSL
HG03649	male	SAS	PJL
HG02697	female	SAS	PJL
HG03095	female	AFR	MSL
HG03651	male	SAS	PJL
HG02700	female	SAS	PJL
HG03228	male	SAS	PJL
HG03656	female	SAS	PJL
HG02666	male	AFR	GWD
HG03230	female	SAS	PJL
HG03702	male	SAS	PJL
HG02678	male	AFR	GWD
HG03235	female	SAS	PJL
HG03707	male	SAS	PJL
HG02680	female	AFR	GWD
HG03242	male	AFR	GWD
HG03714	female	SAS	ITU
HG02572	male	AFR	GWD
HG03103	male	AFR	ESN
HG03733	female	SAS	STU
HG02577	female	AFR	ACB
HG03108	female	AFR	ESN
HG03738	male	SAS	STU
HG02584	male	AFR	GWD
HG03110	female	AFR	ESN
HG03740	male	SAS	STU
HG02654	male	SAS	PJL
HG03115	male	AFR	ESN
HG03745	male	SAS	STU
HG02659	female	SAS	PJL
HG03247	female	AFR	GWD
HG03752	female	SAS	STU
HG02661	female	SAS	PJL
HG03259	female	AFR	GWD
HG03579	male	AFR	MSL
HG02729	male	SAS	PJL
HG03266	female	AFR	ESN
HG03593	male	SAS	BEB
HG02731	female	SAS	PJL
HG03134	male	AFR	ESN
HG03598	female	SAS	BEB
HG02736	male	SAS	PJL
HG03139	male	AFR	ESN
HG03663	male	SAS	PJL
HG02589	female	AFR	GWD
HG03158	female	AFR	ESN
HG03668	female	SAS	PJL
HG02596	male	AFR	GWD
HG03160	male	AFR	ESN
HG03682	male	SAS	STU
HG02983	female	AFR	GWD
HG03191	male	AFR	ESN
HG03687	male	SAS	STU
HG03006	male	SAS	BEB
HG03196	male	AFR	ESN
HG03694	male	SAS	STU
HG02818	female	AFR	GWD
HG03209	male	AFR	MSL
HG03699	male	SAS	PJL
HG02820	female	AFR	GWD
HG03280	male	AFR	ESN
HG03620	female	SAS	PJL
HG02837	female	AFR	GWD
HG03297	female	AFR	ESN
HG03625	female	SAS	PJL
HG02851	male	AFR	GWD
HG03300	female	AFR	ESN
HG03606	male	SAS	BEB
HG02762	male	AFR	GWD
HG03172	male	AFR	ESN
HG03618	male	SAS	PJL
HG02774	male	SAS	PJL
HG03189	female	AFR	ESN
HG03719	female	SAS	ITU
HG02779	male	SAS	PJL
HG03122	male	AFR	ESN
HG03721	female	SAS	ITU
HG02798	male	AFR	GWD
HG03127	male	AFR	ESN
HG03757	female	SAS	STU
HG02806	female	AFR	GWD
HG03305	female	AFR	ESN
HG03769	male	SAS	PJL
HG02813	male	AFR	GWD
HG03312	female	AFR	ESN
HG03771	male	SAS	ITU
HG02964	female	AFR	ESN
HG03519	male	AFR	ESN
HG03790	male	SAS	ITU
HG02969	female	AFR	ESN
HG03521	male	AFR	ESN
HG03795	male	SAS	BEB
HG02971	male	AFR	ESN
HG03538	male	AFR	GWD
HG03803	male	SAS	BEB
HG02976	female	AFR	ESN
HG03540	female	AFR	GWD
HG03904	female	SAS	BEB
HG02781	female	SAS	PJL
HG03557	female	AFR	MSL
HG03909	male	SAS	BEB
HG02786	male	SAS	PJL
HG03432	male	AFR	MSL
HG03911	male	SAS	BEB
HG02793	female	SAS	PJL
HG03437	female	AFR	MSL
HG03884	female	SAS	STU
HG02938	male	AFR	ESN
HG03449	female	AFR	MSL
HG03896	male	SAS	STU
HG02945	female	AFR	ESN
HG03451	male	AFR	MSL
HG03808	female	SAS	BEB
HG02952	female	AFR	ESN
HG03343	male	AFR	ESN
HG03815	male	SAS	BEB
HG02882	female	AFR	GWD
HG03350	male	AFR	ESN
HG03783	male	SAS	ITU
HG02887	male	AFR	GWD
HG03362	male	AFR	ESN
HG03788	male	SAS	ITU
HG02856	male	AFR	GWD
HG03367	male	AFR	ESN
HG03858	female	SAS	STU
HG02870	female	AFR	GWD
HG03564	female	AFR	MSL
HG03872	male	SAS	ITU
HG03164	female	AFR	ESN
HG03569	female	AFR	MSL
HG03822	male	SAS	BEB
HG03169	male	AFR	ESN
HG03571	male	AFR	MSL
HG03834	female	SAS	BEB
HG03171	female	AFR	ESN
HG03576	female	AFR	MSL
HG03846	male	SAS	STU
HG03176	male	AFR	ESN
HG03470	female	AFR	MSL
HG03978	male	SAS	ITU
HG03018	male	SAS	PJL
HG03487	male	SAS	PJL
HG03985	male	SAS	STU
HG03025	female	AFR	GWD
HG03393	female	AFR	MSL
HG03992	male	SAS	STU
HG03049	female	AFR	GWD
HG03398	female	AFR	MSL
HG03916	female	SAS	BEB
HG03056	male	AFR	MSL
HG03401	female	AFR	MSL
HG03928	female	SAS	BEB
HG03119	female	AFR	ESN
HG03499	female	AFR	ESN
HG03930	female	SAS	BEB
HG03121	female	AFR	ESN
HG03514	female	AFR	ESN
HG03942	male	SAS	BEB
HG03126	female	AFR	ESN
HG03374	female	AFR	ESN
HG03947	female	SAS	STU
HG03190	male	AFR	ESN
HG03381	female	AFR	MSL
HG04003	male	SAS	STU
HG03195	female	AFR	ESN
HG03456	male	AFR	MSL
HG04015	male	SAS	ITU
HG03203	female	AFR	ESN
HG03468	male	AFR	MSL
HG04022	male	SAS	ITU
HG03099	female	AFR	ESN
HG03704	female	SAS	PJL
HG04135	female	SAS	BEB
HG03107	female	AFR	ESN
HG03709	female	SAS	PJL
HG04142	female	SAS	BEB
HG03114	female	AFR	ESN
HG03711	male	SAS	STU
HG04147	female	SAS	BEB
HG03133	male	AFR	ESN
HG03716	male	SAS	ITU
HG04058	male	SAS	ITU
HG03140	female	AFR	ESN
HG03646	male	SAS	STU
HG04060	male	SAS	ITU
HG03157	male	AFR	ESN
HG03653	female	SAS	PJL
HG04096	male	SAS	ITU
HG03063	male	AFR	MSL
HG03660	male	SAS	PJL
HG04039	male	SAS	STU
HG03082	female	AFR	MSL
HG03583	female	AFR	MSL
HG04053	male	SAS	ITU
HG03234	male	SAS	PJL
HG03590	male	SAS	BEB
HG03973	female	SAS	ITU
HG03239	female	SAS	PJL
HG03595	female	SAS	BEB
HG04128	male	SAS	BEB
HG03241	female	AFR	GWD
HG03689	female	SAS	STU
NA06985	female	EUR	CEU
HG03246	male	AFR	GWD
HG03691	male	SAS	STU
NA06997	female	EUR	CEU
HG03258	male	AFR	GWD
HG03696	male	SAS	STU
NA07022	male	EUR	CEU
HG03260	male	AFR	GWD
HG03634	female	SAS	PJL
NA07034	male	EUR	CEU
HG03265	male	AFR	ESN
HG03639	male	SAS	PJL
NA12045	male	EUR	CEU
HG03342	female	AFR	ESN
HG03641	male	SAS	PJL
NA12057	female	EUR	CEU
HG03354	female	AFR	ESN
HG03672	male	SAS	STU
NA12146	male	EUR	CEU
HG03361	male	AFR	ESN
HG03684	female	SAS	STU
NA10859	female	EUR	CEU
HG03366	female	AFR	ESN
HG03603	male	SAS	BEB
NA10861	female	EUR	CEU
HG03373	male	AFR	ESN
HG03615	male	SAS	BEB
NA11840	female	EUR	CEU
HG03378	female	AFR	MSL
HG03742	male	SAS	ITU
NA10842	male	EUR	CEU
HG03380	female	AFR	MSL
HG03754	female	SAS	STU
NA10847	female	EUR	CEU
HG03304	male	AFR	ESN
HG03723	female	SAS	ITU
NA10854	female	EUR	CEU
HG03309	female	AFR	ESN
HG03730	female	SAS	ITU
HG04217	female	SAS	ITU
HG03311	male	AFR	ESN
HG03824	male	SAS	BEB
HG04229	male	SAS	STU
HG03272	female	AFR	ESN
HG03829	female	SAS	BEB
HG04301	female	EUR	GBR
HG03291	female	AFR	ESN
HG03831	female	SAS	BEB
HG04197	female	SAS	STU
HG03296	male	AFR	ESN
HG03836	female	SAS	STU
HG04200	female	SAS	ITU
HG03431	female	AFR	MSL
HG03792	male	SAS	ITU
HG04212	female	SAS	ITU
HG03436	male	AFR	MSL
HG03797	male	SAS	BEB
NA07349	male	EUR	CEU
HG03450	female	AFR	MSL
HG03800	male	SAS	BEB
NA10830	male	EUR	CEU
HG03455	female	AFR	MSL
HG03879	male	SAS	ITU
NA10835	male	EUR	CEU
HG03462	male	AFR	MSL
HG03886	female	SAS	STU
HG04180	female	SAS	BEB
HG03385	male	AFR	MSL
HG03898	female	SAS	STU
HG04185	male	SAS	BEB
HG03397	male	AFR	MSL
HG03761	male	SAS	PJL
HG04192	female	SAS	BEB
HG03621	male	SAS	PJL
HG03766	male	SAS	PJL
HG04159	female	SAS	BEB
HG03626	female	SAS	PJL
HG03773	male	SAS	ITU
HG04161	male	SAS	BEB
HG03633	male	SAS	PJL
HG03901	female	SAS	BEB
HG04173	male	SAS	BEB
HG03638	female	SAS	PJL
HG03906	male	SAS	BEB
NA12761	female	EUR	CEU
HG03640	female	SAS	PJL
HG03913	female	SAS	BEB
NA12766	male	EUR	CEU
HG03518	male	AFR	ESN
HG03862	female	SAS	ITU
NA12778	female	EUR	CEU
HG03520	female	AFR	ESN
HG03867	male	SAS	ITU
NA12812	male	EUR	CEU
HG03549	female	AFR	MSL
HG03874	female	SAS	ITU
NA12817	male	EUR	CEU
HG03556	male	AFR	MSL
HG03805	female	SAS	BEB
NA12829	male	EUR	CEU
HG03599	female	SAS	BEB
HG03812	male	SAS	BEB
NA12843	female	EUR	CEU
HG03602	male	SAS	BEB
HG03817	female	SAS	BEB
NA12874	male	EUR	CEU
HG03607	female	SAS	BEB
HG03778	male	SAS	ITU
NA18485	male	AFR	YRI
HG03619	female	SAS	PJL
HG03780	female	SAS	ITU
NA12348	female	EUR	CEU
HG03582	male	AFR	MSL
HG03785	male	SAS	ITU
NA12386	female	EUR	CEU
HG03587	female	SAS	BEB
HG03848	male	SAS	STU
NA12413	male	EUR	CEU
HG03594	male	SAS	BEB
HG03850	male	SAS	STU
NA12716	male	EUR	CEU
HG03645	female	SAS	STU
HG03937	female	SAS	BEB
NA18543	male	EAS	CHB
HG03652	male	SAS	PJL
HG03944	female	SAS	STU
NA18548	male	EAS	CHB
HG03657	male	SAS	PJL
HG03949	female	SAS	STU
NA18550	female	EAS	CHB
HG03486	female	AFR	MSL
HG03951	female	SAS	STU
NA18555	female	EAS	CHB
HG03493	female	AFR	ESN
HG04062	female	SAS	ITU
NA18562	male	EAS	CHB
HG03513	male	AFR	ESN
HG04067	female	SAS	STU
NA12273	female	EUR	CEU
HG03563	female	AFR	MSL
HG04093	male	SAS	ITU
NA12329	female	EUR	CEU
HG03575	female	AFR	MSL
HG04098	male	SAS	ITU
NA12336	female	EUR	CEU
HG03474	male	AFR	MSL
HG04106	female	SAS	STU
NA12343	female	EUR	CEU
HG03479	female	AFR	MSL
HG04118	female	SAS	ITU
NA18497	male	AFR	YRI
HG03669	female	SAS	PJL
HG04132	female	SAS	BEB
NA18500	male	AFR	YRI
HG03683	female	SAS	STU
HG04017	male	SAS	ITU
NA18505	female	AFR	YRI
HG03703	female	SAS	PJL
HG04024	female	SAS	ITU
NA18517	female	AFR	YRI
HG03708	male	SAS	PJL
HG04029	female	SAS	STU
NA18606	male	EAS	CHB
HG03710	male	SAS	PJL
HG04144	female	SAS	BEB
NA18613	male	EAS	CHB
HG03715	male	SAS	ITU
HG04149	male	SAS	BEB
NA18618	female	EAS	CHB
HG03760	female	SAS	STU
HG04151	female	SAS	BEB
NA18620	male	EAS	CHB
HG03765	female	SAS	PJL
HG03920	male	SAS	BEB
NA18567	female	EAS	CHB
HG03772	female	SAS	ITU
HG03925	female	SAS	BEB
NA18574	female	EAS	CHB
HG03804	female	SAS	BEB
HG04036	female	SAS	STU
NA18579	female	EAS	CHB
HG03809	male	SAS	BEB
HG04050	female	SAS	ITU
NA18593	female	EAS	CHB
HG03811	female	SAS	BEB
HG04055	male	SAS	ITU
NA18531	female	EAS	CHB
HG03816	female	SAS	BEB
HG03963	male	SAS	ITU
NA18536	male	EAS	CHB
HG03823	female	SAS	BEB
HG03968	female	SAS	ITU
NA18916	female	AFR	YRI
HG03830	male	SAS	BEB
HG03982	male	SAS	STU
NA18923	male	AFR	YRI
HG03835	female	SAS	STU
HG03999	male	SAS	STU
NA18930	female	AFR	YRI
HG03688	male	SAS	STU
NA06994	male	EUR	CEU
NA18935	male	AFR	YRI
HG03690	female	SAS	STU
NA07000	female	EUR	CEU
NA18942	female	EAS	JPT
HG03695	male	SAS	STU
NA07029	male	EUR	CEU
NA18795	female	EAS	CHB
HG03789	female	SAS	ITU
NA07031	female	EUR	CEU
NA18853	male	AFR	YRI
HG03796	female	SAS	BEB
NA07048	male	EUR	CEU
NA18858	female	AFR	YRI
HG03722	female	SAS	ITU
NA11931	female	EUR	CEU
NA18860	male	AFR	YRI
HG03727	male	SAS	ITU
NA11993	female	EUR	CEU
NA18865	male	AFR	YRI
HG03741	female	SAS	STU
NA12004	female	EUR	CEU
NA18872	male	AFR	YRI
HG03746	male	SAS	STU
NA12155	male	EUR	CEU
NA18877	male	AFR	YRI
HG03753	male	SAS	STU
NA10863	female	EUR	CEU
NA18909	female	AFR	YRI
HG03777	male	SAS	ITU
NA11830	female	EUR	CEU
NA18911	male	AFR	YRI
HG03784	female	SAS	ITU
NA11892	female	EUR	CEU
NA18644	female	EAS	CHB
HG03931	female	SAS	BEB
NA11917	male	EUR	CEU
NA18740	male	EAS	CHB
HG03943	male	SAS	STU
NA07055	female	EUR	CEU
NA18745	male	EAS	CHB
HG03948	female	SAS	STU
NA07346	female	EUR	CEU
NA18757	male	EAS	CHB
HG03950	male	SAS	STU
NA07435	male	EUR	CEU
NA18625	female	EAS	CHB
HG03917	male	SAS	BEB
NA10837	male	EUR	CEU
NA18632	male	EAS	CHB
HG03924	female	SAS	BEB
NA10851	male	EUR	CEU
NA18637	male	EAS	CHB
HG03929	male	SAS	BEB
NA10856	male	EUR	CEU
NA18978	female	EAS	JPT
HG03900	male	SAS	STU
HG04199	male	SAS	STU
NA18980	female	EAS	JPT
HG03905	male	SAS	BEB
HG04202	female	SAS	ITU
NA18985	male	EAS	JPT
HG03955	female	SAS	STU
HG04214	female	SAS	ITU
NA18961	male	EAS	JPT
HG03967	male	SAS	ITU
HG04182	male	SAS	BEB
NA18966	male	EAS	JPT
HG03974	male	SAS	ITU
HG04187	male	SAS	BEB
NA18973	female	EAS	JPT
HG03885	male	SAS	STU
HG04194	male	SAS	BEB
NA18992	female	EAS	JPT
HG03897	female	SAS	STU
HG04219	male	SAS	ITU
NA18997	female	EAS	JPT
HG03861	female	SAS	ITU
HG04238	male	SAS	ITU
NA19003	female	EAS	JPT
HG03866	male	SAS	ITU
HG04303	female	EUR	GBR
NA18947	female	EAS	JPT
HG03873	female	SAS	ITU
HG04156	female	SAS	BEB
NA18954	female	EAS	JPT
HG03842	female	SAS	STU
HG04175	female	SAS	BEB
NA18959	male	EAS	JPT
HG03847	male	SAS	STU
NA12376	female	EUR	CEU
NA19142	male	AFR	YRI
HG03854	male	SAS	STU
NA12383	female	EUR	CEU
NA19147	female	AFR	YRI
HG03986	female	SAS	STU
NA12489	female	EUR	CEU
NA19154	male	AFR	YRI
HG03998	male	SAS	STU
NA12718	female	EUR	CEU
NA19159	female	AFR	YRI
HG04023	male	SAS	ITU
NA12749	female	EUR	CEU
NA19161	male	AFR	YRI
NA06986	male	EUR	CEU
NA12751	female	EUR	CEU
NA19166	female	AFR	YRI
NA06993	male	EUR	CEU
NA12249	female	EUR	CEU
NA19109	female	AFR	YRI
HG04035	female	SAS	STU
NA12275	female	EUR	CEU
NA19116	female	AFR	YRI
HG04042	female	SAS	STU
NA12282	male	EUR	CEU
NA19123	male	AFR	YRI
HG04047	female	SAS	STU
NA12287	female	EUR	CEU
NA19128	male	AFR	YRI
HG04054	female	SAS	ITU
NA12340	male	EUR	CEU
NA19130	male	AFR	YRI
HG04155	male	SAS	BEB
NA18499	female	AFR	YRI
NA19173	male	AFR	YRI
HG04162	female	SAS	BEB
NA18502	female	AFR	YRI
NA19185	female	AFR	YRI
HG04174	female	SAS	BEB
NA18507	male	AFR	YRI
NA19197	female	AFR	YRI
HG04181	female	SAS	BEB
NA18519	male	AFR	YRI
NA19200	male	AFR	YRI
HG04186	female	SAS	BEB
NA18521	male	AFR	YRI
NA19089	male	EAS	JPT
HG04193	male	SAS	BEB
NA12864	male	EUR	CEU
NA19091	male	EAS	JPT
HG04100	male	SAS	STU
NA12890	female	EUR	CEU
NA19096	male	AFR	YRI
HG04131	male	SAS	BEB
NA18487	male	AFR	YRI
NA19104	male	AFR	YRI
HG04198	male	SAS	ITU
NA12763	female	EUR	CEU
NA19205	male	AFR	YRI
HG04206	male	SAS	ITU
NA12775	male	EUR	CEU
NA19224	male	AFR	YRI
HG04059	female	SAS	ITU
NA12802	female	EUR	CEU
NA19236	male	AFR	YRI
HG04061	male	SAS	ITU
NA12814	male	EUR	CEU
NA19027	male	AFR	LWK
HG04080	male	SAS	ITU
NA18545	female	EAS	CHB
NA19041	male	AFR	LWK
HG04136	female	SAS	BEB
NA18552	female	EAS	CHB
NA19046	male	AFR	LWK
HG04148	female	SAS	BEB
NA18557	male	EAS	CHB
NA19072	male	EAS	JPT
HG04150	female	SAS	BEB
NA18564	female	EAS	CHB
NA19077	female	EAS	JPT
HG04225	male	SAS	ITU
NA18571	female	EAS	CHB
NA19084	female	EAS	JPT
HG04302	male	EUR	GBR
NA18576	female	EAS	CHB
NA19058	male	EAS	JPT
NA12344	male	EUR	CEU
NA18595	female	EAS	CHB
NA19060	male	EAS	JPT
NA12375	male	EUR	CEU
NA18603	male	EAS	CHB
NA19065	female	EAS	JPT
NA12399	male	EUR	CEU
NA18608	male	EAS	CHB
NA19010	female	EAS	JPT
NA12414	female	EUR	CEU
NA18610	female	EAS	CHB
NA19678	female	AMR	MXL
NA12546	male	EUR	CEU
NA18615	female	EAS	CHB
NA19680	female	AMR	MXL
NA12717	female	EUR	CEU
NA18622	male	EAS	CHB
NA19685	male	AMR	MXL
NA12748	male	EUR	CEU
NA18526	female	EAS	CHB
NA19700	male	AFR	ASW
NA11930	male	EUR	CEU
NA18533	female	EAS	CHB
NA19705	male	AFR	ASW
NA11992	male	EUR	CEU
NA18538	female	EAS	CHB
NA19399	female	AFR	LWK
NA12003	male	EUR	CEU
NA18874	male	AFR	YRI
NA19438	female	AFR	LWK
NA12046	female	EUR	CEU
NA18879	male	AFR	YRI
NA19440	female	AFR	LWK
NA12058	female	EUR	CEU
NA18881	female	AFR	YRI
NA19445	female	AFR	LWK
NA12154	male	EUR	CEU
NA18906	female	AFR	YRI
NA19469	female	AFR	LWK
NA12750	male	EUR	CEU
NA18913	male	AFR	YRI
NA19471	female	AFR	LWK
NA12762	male	EUR	CEU
NA18855	female	AFR	YRI
NA19654	female	AMR	MXL
NA12767	female	EUR	CEU
NA18862	male	AFR	YRI
NA19248	male	AFR	YRI
NA12801	male	EUR	CEU
NA18867	female	AFR	YRI
NA19313	female	AFR	LWK
NA12813	female	EUR	CEU
NA18627	female	EAS	CHB
NA19659	female	AMR	MXL
NA12818	female	EUR	CEU
NA18634	female	EAS	CHB
NA19661	male	AMR	MXL
NA18498	male	AFR	YRI
NA18639	male	EAS	CHB
NA19382	male	AFR	LWK
NA18501	male	AFR	YRI
NA18641	female	EAS	CHB
NA19394	male	AFR	LWK
NA18506	male	AFR	YRI
NA18963	female	EAS	JPT
NA19318	male	AFR	LWK
NA18518	female	AFR	YRI
NA18968	female	EAS	JPT
NA19320	female	AFR	LWK
NA18520	female	AFR	YRI
NA18970	male	EAS	JPT
NA19332	female	AFR	LWK
NA07340	female	EUR	CEU
NA18975	female	EAS	JPT
NA19452	male	AFR	LWK
NA07345	female	EUR	CEU
NA18994	male	EAS	JPT
NA19457	female	AFR	LWK
NA07357	male	EUR	CEU
NA18999	female	EAS	JPT
NA19351	female	AFR	LWK
NA10831	female	EUR	CEU
NA19000	male	EAS	JPT
NA19375	male	AFR	LWK
NA10836	female	EUR	CEU
NA19005	male	EAS	JPT
NA19712	female	AFR	ASW
NA12832	female	EUR	CEU
NA18925	male	AFR	YRI
NA19717	male	AMR	MXL
NA12875	female	EUR	CEU
NA18944	male	EAS	JPT
NA19724	male	AMR	MXL
NA18486	male	AFR	YRI
NA18949	female	EAS	JPT
NA19729	male	AMR	MXL
NA12248	male	EUR	CEU
NA18951	female	EAS	JPT
NA19731	female	AMR	MXL
NA12274	male	EUR	CEU
NA18956	female	EAS	JPT
NA20322	female	AFR	ASW
NA12286	male	EUR	CEU
NA18646	female	EAS	CHB
NA20334	female	AFR	ASW
NA10843	female	EUR	CEU
NA18747	male	EAS	CHB
NA20339	female	AFR	ASW
NA10850	female	EUR	CEU
NA18982	male	EAS	JPT
NA20341	female	AFR	ASW
NA10855	female	EUR	CEU
NA18987	female	EAS	JPT
NA20346	male	AFR	ASW
NA11839	male	EUR	CEU
NA19207	male	AFR	YRI
NA19902	female	AFR	ASW
NA11891	male	EUR	CEU
NA19214	female	AFR	YRI
NA19914	female	AFR	ASW
NA18917	male	AFR	YRI
NA19221	female	AFR	YRI
NA19919	male	AFR	ASW
NA18924	female	AFR	YRI
NA19226	male	AFR	YRI
NA19921	female	AFR	ASW
NA18943	male	EAS	JPT
NA19238	female	AFR	YRI
NA19983	female	AFR	ASW
NA18602	female	EAS	CHB
NA19240	female	AFR	YRI
NA19762	male	AMR	MXL
NA18614	female	EAS	CHB
NA19113	male	AFR	YRI
NA19774	male	AMR	MXL
NA18619	female	EAS	CHB
NA19118	female	AFR	YRI
NA19779	female	AMR	MXL
NA18621	male	EAS	CHB
NA19120	male	AFR	YRI
NA19781	female	AMR	MXL
NA18626	female	EAS	CHB
NA19132	female	AFR	YRI
NA19786	male	AMR	MXL
NA18633	male	EAS	CHB
NA19137	female	AFR	YRI
NA19798	male	AMR	MXL
NA18638	male	EAS	CHB
NA19093	female	AFR	YRI
NA19818	male	AFR	ASW
NA18640	female	EAS	CHB
NA19098	male	AFR	YRI
NA19748	female	AMR	MXL
NA18873	female	AFR	YRI
NA19101	male	AFR	YRI
NA19750	male	AMR	MXL
NA18878	female	AFR	YRI
NA19144	male	AFR	YRI
NA19755	female	AMR	MXL
NA18912	female	AFR	YRI
NA19149	female	AFR	YRI
NA20276	female	AFR	ASW
NA18570	female	EAS	CHB
NA19151	female	AFR	YRI
NA20288	male	AFR	ASW
NA18582	female	EAS	CHB
NA19175	male	AFR	YRI
NA20290	female	AFR	ASW
NA18599	female	EAS	CHB
NA19199	female	AFR	YRI
NA20358	male	AFR	ASW
NA18525	female	EAS	CHB
NA19202	female	AFR	YRI
NA20360	male	AFR	ASW
NA18532	female	EAS	CHB
NA19031	male	AFR	LWK
NA20295	male	AFR	ASW
NA18537	female	EAS	CHB
NA19036	female	AFR	LWK
NA20529	female	EUR	TSI
NA18854	male	AFR	YRI
NA19043	male	AFR	LWK
NA20531	female	EUR	TSI
NA18859	male	AFR	YRI
NA19055	male	EAS	JPT
NA20536	male	EUR	TSI
NA18861	female	AFR	YRI
NA19012	male	EAS	JPT
NA20543	male	EUR	TSI
NA18544	male	EAS	CHB
NA19017	female	AFR	LWK
NA20581	male	EUR	TSI
NA18549	male	EAS	CHB
NA19024	female	AFR	LWK
NA20586	male	EUR	TSI
NA18563	male	EAS	CHB
NA19079	male	EAS	JPT
NA20752	male	EUR	TSI
NA18645	male	EAS	CHB
NA19081	female	EAS	JPT
NA20790	female	EUR	TSI
NA18791	male	EAS	CHB
NA19086	male	EAS	JPT
NA20795	female	EUR	TSI
NA19004	male	EAS	JPT
NA19062	male	EAS	JPT
NA20803	male	EUR	TSI
NA19009	male	EAS	JPT
NA19067	male	EAS	JPT
NA20808	female	EUR	TSI
NA19011	female	EAS	JPT
NA19074	female	EAS	JPT
NA20810	male	EUR	TSI
NA19023	female	AFR	LWK
NA19473	female	AFR	LWK
NA20815	male	EUR	TSI
NA19092	male	AFR	YRI
NA19625	female	AFR	ASW
NA20757	female	EUR	TSI
NA19097	female	AFR	YRI
NA19649	male	AMR	MXL
NA20764	female	EUR	TSI
NA19100	female	AFR	YRI
NA19651	female	AMR	MXL
NA20769	female	EUR	TSI
NA19105	female	AFR	YRI
NA19656	female	AMR	MXL
NA20771	female	EUR	TSI
NA19028	male	AFR	LWK
NA19252	male	AFR	YRI
NA20783	male	EUR	TSI
NA19030	female	AFR	LWK
NA19257	female	AFR	YRI
NA20505	female	EUR	TSI
NA19035	male	AFR	LWK
NA19308	male	AFR	LWK
NA20512	male	EUR	TSI
NA19042	female	AFR	LWK
NA19310	female	AFR	LWK
NA20517	female	EUR	TSI
NA19054	female	EAS	JPT
NA19404	female	AFR	LWK
NA20524	male	EUR	TSI
NA18962	male	EAS	JPT
NA19428	male	AFR	LWK
NA20889	male	SAS	GIH
NA18967	male	EAS	JPT
NA19430	male	AFR	LWK
NA20891	male	SAS	GIH
NA18974	male	EAS	JPT
NA19435	female	AFR	LWK
NA20896	female	SAS	GIH
NA18948	male	EAS	JPT
NA19315	female	AFR	LWK
NA20904	male	SAS	GIH
NA18950	female	EAS	JPT
NA19327	female	AFR	LWK
NA20909	male	SAS	GIH
NA18955	male	EAS	JPT
NA19334	male	AFR	LWK
NA20911	male	SAS	GIH
NA19078	female	EAS	JPT
NA19346	male	AFR	LWK
NA20822	female	EUR	TSI
NA19080	female	EAS	JPT
NA19682	male	AMR	MXL
NA20827	male	EUR	TSI
NA19085	male	EAS	JPT
NA19702	male	AFR	ASW
NA20846	male	SAS	GIH
NA18979	female	EAS	JPT
NA19707	female	AFR	ASW
NA20872	female	SAS	GIH
NA18981	female	EAS	JPT
NA19663	female	AMR	MXL
NA20877	female	SAS	GIH
NA18986	male	EAS	JPT
NA19670	male	AMR	MXL
NA20884	male	SAS	GIH
NA18993	female	EAS	JPT
NA19675	female	AMR	MXL
NA20853	female	SAS	GIH
NA18998	female	EAS	JPT
NA19384	male	AFR	LWK
NA20858	male	SAS	GIH
NA19059	female	EAS	JPT
NA19391	female	AFR	LWK
NA21135	male	SAS	GIH
NA19066	male	EAS	JPT
NA19396	female	AFR	LWK
NA21142	female	SAS	GIH
